,length,space,has .,has %,has percent,label
6%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
around 22%,10,1,0,1,0,0
55%,3,0,0,1,0,1
0.8%,4,0,1,1,0,0
10.77 percent,13,1,1,0,1,1
16%,3,0,0,1,0,1
2.2%,4,0,1,1,0,0
6.3%,4,0,1,1,0,0
4.2%,4,0,1,1,0,0
2 percent,9,1,0,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
15%,3,0,0,1,0,1
3.3%,4,0,1,1,0,0
15 percent,10,1,0,0,1,1
64%,3,0,0,1,0,1
11%,3,0,0,1,0,1
8.375%,6,0,1,1,0,0
93 percent,10,1,0,0,1,1
2.3%,4,0,1,1,0,0
40 0.5%,7,1,1,1,0,0
7 percent,9,1,0,0,1,1
60-65%,6,0,0,1,0,0
9.25%,5,0,1,1,0,1
8.48 percent,12,1,1,0,1,1
roughly 40%,11,1,0,1,0,0
4.9%,4,0,1,1,0,0
9.9%,4,0,1,1,0,0
Only 15%,8,1,0,1,0,0
+1.19%,6,0,1,1,0,0
36 percent,10,1,0,0,1,1
12%,3,0,0,1,0,1
500 12.2%,9,1,1,1,0,0
14.5%,5,0,1,1,0,0
4.83%,5,0,1,1,0,1
8 percent,9,1,0,0,1,1
around 1%,9,1,0,1,0,0
20 percent,10,1,0,0,1,1
1.08%,5,0,1,1,0,1
10.7%,5,0,1,1,0,0
34%,3,0,0,1,0,1
approximately 19%,17,1,0,1,0,0
1.7 percent,11,1,1,0,1,1
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
77%,3,0,0,1,0,1
46%,3,0,0,1,0,1
less one percent,16,2,0,0,1,0
7%,2,0,0,1,0,1
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
0.3%,4,0,1,1,0,0
0.29%,5,0,1,1,0,1
95%,3,0,0,1,0,1
8%,2,0,0,1,0,1
30%,3,0,0,1,0,1
0.21%,5,0,1,1,0,1
3.9%,4,0,1,1,0,0
35%,3,0,0,1,0,1
6 percent,9,1,0,0,1,1
0.625%,6,0,1,1,0,0
52%,3,0,0,1,0,1
0.9%,4,0,1,1,0,0
23%,3,0,0,1,0,1
10%,3,0,0,1,0,1
7.5%,4,0,1,1,0,0
4.6%,4,0,1,1,0,0
0.4%,4,0,1,1,0,0
40%,3,0,0,1,0,1
6.4%,4,0,1,1,0,0
9%,2,0,0,1,0,1
5 percent,9,1,0,0,1,1
4.0%,4,0,1,1,0,0
27.9%,5,0,1,1,0,0
1.9%,4,0,1,1,0,0
72%,3,0,0,1,0,1
1-2 percent,11,1,0,0,1,1
43%,3,0,0,1,0,1
87.0 93.8,9,1,1,0,0,0
.5%,3,0,1,1,0,0
83%,3,0,0,1,0,1
72.2%,5,0,1,1,0,0
10.25%,6,0,1,1,0,1
7.3 percent,11,1,1,0,1,1
0.5%,4,0,1,1,0,0
1.18 14.5%,10,1,1,1,0,0
nearly 30%,10,1,0,1,0,0
0.7%,4,0,1,1,0,0
4%,2,0,0,1,0,1
31%,3,0,0,1,0,1
1.5%,4,0,1,1,0,0
1.3%,4,0,1,1,0,0
9.5%,4,0,1,1,0,0
almost 13%,10,1,0,1,0,0
0.2%,4,0,1,1,0,0
one percent,11,1,0,0,1,1
0.3 percent,11,1,1,0,1,1
95 percent,10,1,0,0,1,1
3 percent,9,1,0,0,1,1
2.5%,4,0,1,1,0,0
892 percent,11,1,0,0,1,1
32 percent,10,1,0,0,1,1
61%,3,0,0,1,0,1
0.4 percent,11,1,1,0,1,1
20%,3,0,0,1,0,1
6.6%,4,0,1,1,0,0
0.1%,4,0,1,1,0,0
7.1%,4,0,1,1,0,0
19.39%,6,0,1,1,0,0
6%,2,0,0,1,0,1
0.13%,5,0,1,1,0,1
2.25%,5,0,1,1,0,1
2.2%,4,0,1,1,0,0
2 percent,9,1,0,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
20-40%,6,0,0,1,0,0
15%,3,0,0,1,0,1
0.004%,6,0,1,1,0,0
15 percent,10,1,0,0,1,1
11%,3,0,0,1,0,1
nearly 4%,9,1,0,1,0,0
0.50%,5,0,1,1,0,1
11 percent,10,1,0,0,1,1
18%,3,0,0,1,0,1
1.86%,5,0,1,1,0,1
5.0%,4,0,1,1,0,0
12.5 percent,12,1,1,0,1,1
12%,3,0,0,1,0,1
15.8%,5,0,1,1,0,0
35 percent,10,1,0,0,1,1
0.33 percent,12,1,1,0,1,1
50%,3,0,0,1,0,1
90%,3,0,0,1,0,1
10.7%,5,0,1,1,0,0
13%,3,0,0,1,0,1
7%,2,0,0,1,0,1
3%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
48%,3,0,0,1,0,1
2.6%,4,0,1,1,0,0
17 percent,10,1,0,0,1,1
5.7%,4,0,1,1,0,0
58%,3,0,0,1,0,1
1.0%,4,0,1,1,0,0
0.3%,4,0,1,1,0,0
2.229 percent,13,1,1,0,1,1
1.3 percent,11,1,1,0,1,1
1.1%,4,0,1,1,0,0
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
100 0.2%,8,1,1,1,0,0
44%,3,0,0,1,0,1
2.8%,4,0,1,1,0,0
35%,3,0,0,1,0,1
19 percent,10,1,0,0,1,1
1 percent,9,1,0,0,1,1
52%,3,0,0,1,0,1
0.9%,4,0,1,1,0,0
44 percent,10,1,0,0,1,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
0.25 percent,12,1,1,0,1,1
0.4%,4,0,1,1,0,0
3.0%,4,0,1,1,0,0
1.5 percent,11,1,1,0,1,1
0.6%,4,0,1,1,0,0
80 percent,10,1,0,0,1,1
0.8 percent,11,1,1,0,1,1
3.2 percent,11,1,1,0,1,1
13 percent,10,1,0,0,1,1
almost 70%,10,1,0,1,0,0
0.5%,4,0,1,1,0,0
0.6 percent,11,1,1,0,1,1
0.7%,4,0,1,1,0,0
2.35%,5,0,1,1,0,1
around 6.7 %,12,2,1,1,0,0
1.6%,4,0,1,1,0,0
38%,3,0,0,1,0,1
3.5%,4,0,1,1,0,0
25.5%,5,0,1,1,0,0
30 40 percent,13,2,0,0,1,0
almost 30 percent,17,2,0,0,1,0
2.5%,4,0,1,1,0,0
20%,3,0,0,1,0,1
around 50%,10,1,0,1,0,0
5%,2,0,0,1,0,1
6%,2,0,0,1,0,1
50-60%,6,0,0,1,0,0
6-7 percent,11,1,0,0,1,0
0.709 percent,13,1,1,0,1,1
0.13%,5,0,1,1,0,1
0 percent,9,1,0,0,1,1
47%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
0.12%,5,0,1,1,0,1
50 percent,10,1,0,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
64 34 percent,13,2,0,0,1,0
0.14%,5,0,1,1,0,1
15%,3,0,0,1,0,1
4 percent,9,1,0,0,1,1
1%1.5%,6,0,1,1,0,0
80%,3,0,0,1,0,1
11 percent,10,1,0,0,1,1
65 percent,10,1,0,0,1,1
two percent,11,1,0,0,1,1
18%,3,0,0,1,0,1
+0.09%,6,0,1,1,0,0
7.5 percent,11,1,1,0,1,1
0.45%,5,0,1,1,0,1
0.16 percent,12,1,1,0,1,1
0.87%,5,0,1,1,0,0
8 percent,9,1,0,0,1,1
around 1 percent,16,2,0,0,1,0
5.6 percent,11,1,1,0,1,1
14.26%,6,0,1,1,0,1
20 percent,10,1,0,0,1,1
sure least 20%,14,2,0,1,0,0
28.45%,6,0,1,1,0,1
34%,3,0,0,1,0,1
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
0.08%,5,0,1,1,0,1
40 percent,10,1,0,0,1,1
0.46 percent,12,1,1,0,1,1
0.719 percent,13,1,1,0,1,1
around 1.9 percent,18,2,1,0,1,0
95%,3,0,0,1,0,1
8%,2,0,0,1,0,1
0.78%,5,0,1,1,0,1
30%,3,0,0,1,0,1
23 percent,10,1,0,0,1,1
45 percent,10,1,0,0,1,1
6 percent,9,1,0,0,1,1
around 4.5 percent,18,2,1,0,1,0
19 percent,10,1,0,0,1,1
0.51%,5,0,1,1,0,1
almost 10%,10,1,0,1,0,0
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
around 15 percent,17,2,0,0,1,0
80 percent,10,1,0,0,1,1
3.2 percent,11,1,1,0,1,1
13.7%,5,0,1,1,0,0
14 percent,10,1,0,0,1,1
70%,3,0,0,1,0,1
100 index 0.06 percent,22,3,1,0,1,0
7.3 percent,11,1,1,0,1,1
65 51 percent,13,2,0,0,1,0
nearly 10 percent,17,2,0,0,1,0
0.6 percent,11,1,1,0,1,1
200 percent,11,1,0,0,1,1
one 45 44 percent,17,3,0,0,1,0
0.5 percent,11,1,1,0,1,1
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
25 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
1.6%,4,0,1,1,0,0
11.82 percent,13,1,1,0,1,0
48 percent,10,1,0,0,1,1
55.0 percent,12,1,1,0,1,1
6.5%,4,0,1,1,0,0
5.5 percent,11,1,1,0,1,1
0.2%,4,0,1,1,0,0
1.75 percent,12,1,1,0,1,1
0.3 percent,11,1,1,0,1,1
12 percent,10,1,0,0,1,1
3.5%,4,0,1,1,0,0
5.6%,4,0,1,1,0,0
38 percent,10,1,0,0,1,1
almost 30 percent,17,2,0,0,1,0
roughly 85 percent,18,2,0,0,1,0
3 percent,9,1,0,0,1,1
28.2%,5,0,1,1,0,0
12.2%,5,0,1,1,0,0
8.15 percent,12,1,1,0,1,1
27%,3,0,0,1,0,1
28%,3,0,0,1,0,1
20%,3,0,0,1,0,1
51.7 percent,12,1,1,0,1,1
around 0.4%,11,1,1,1,0,0
500 26 percent,14,2,0,0,1,0
5%,2,0,0,1,0,1
-0.59%,6,0,1,1,0,0
6%,2,0,0,1,0,1
65%,3,0,0,1,0,1
49.5 percent,12,1,1,0,1,1
4.9 percent,11,1,1,0,1,1
14.2 percent,12,1,1,0,1,1
2.2%,4,0,1,1,0,0
2 percent,9,1,0,0,1,1
8.6 percent,11,1,1,0,1,1
51.8 percent,12,1,1,0,1,1
5.7 percent,11,1,1,0,1,1
47.1 percent,12,1,1,0,1,1
36.4 percent,12,1,1,0,1,1
1%,2,0,0,1,0,1
02%,3,0,0,1,0,0
15%,3,0,0,1,0,1
15 percent,10,1,0,0,1,1
64%,3,0,0,1,0,1
75%,3,0,0,1,0,1
11%,3,0,0,1,0,1
almost 14 percent,17,2,0,0,1,0
31 percent,10,1,0,0,1,1
43.2 percent,12,1,1,0,1,1
7 percent,9,1,0,0,1,1
0.74 percent,12,1,1,0,1,0
52 percent,10,1,0,0,1,1
60%,3,0,0,1,0,1
7.5 percent,11,1,1,0,1,1
1.7%,4,0,1,1,0,0
2.9%,4,0,1,1,0,0
63 percent,10,1,0,0,1,1
43 percent,10,1,0,0,1,1
132 percent,11,1,0,0,1,0
12%,3,0,0,1,0,1
35 percent,10,1,0,0,1,1
0.07%,5,0,1,1,0,1
8 percent,9,1,0,0,1,1
0.09 percent,12,1,1,0,1,1
around 60 percent,17,2,0,0,1,0
1.23%,5,0,1,1,0,1
50%,3,0,0,1,0,1
36%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
21%,3,0,0,1,0,1
0.95 percent,12,1,1,0,1,1
4.1 percent,11,1,1,0,1,1
27 percent,10,1,0,0,1,1
8.3 percent,11,1,1,0,1,1
5.3 percent,11,1,1,0,1,1
less 1%,7,1,0,1,0,0
36.8 percent,12,1,1,0,1,1
43.6 percent,12,1,1,0,1,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
4.7 percent,11,1,1,0,1,1
1.4%,4,0,1,1,0,0
17 percent,10,1,0,0,1,1
6.2 percent,11,1,1,0,1,1
54.4 percent,12,1,1,0,1,1
5.5%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
49.1 percent,12,1,1,0,1,1
almost 10 percent,17,2,0,0,1,0
11.2 percent,12,1,1,0,1,1
10.2 percent,12,1,1,0,1,1
40 percent,10,1,0,0,1,1
0.3%,4,0,1,1,0,0
6.2%,4,0,1,1,0,0
95%,3,0,0,1,0,1
55 percent,10,1,0,0,1,1
6.3 percent,11,1,1,0,1,1
6.7 percent,11,1,1,0,1,1
8.3%,4,0,1,1,0,0
52.0 percent,12,1,1,0,1,1
30%,3,0,0,1,0,1
6.9%,4,0,1,1,0,0
23 percent,10,1,0,0,1,1
47.7 percent,12,1,1,0,1,1
45 percent,10,1,0,0,1,1
6.5 percent,11,1,1,0,1,1
35%,3,0,0,1,0,1
19 percent,10,1,0,0,1,1
1 percent,9,1,0,0,1,1
0.9%,4,0,1,1,0,0
9 percent,9,1,0,0,1,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
7.5%,4,0,1,1,0,0
0.4%,4,0,1,1,0,0
Nearly 90 percent,17,2,0,0,1,0
3.69 percent,12,1,1,0,1,0
5 percent,9,1,0,0,1,1
1.5 percent,11,1,1,0,1,1
1.9%,4,0,1,1,0,0
80 percent,10,1,0,0,1,1
10.3 percent,12,1,1,0,1,1
3.2 percent,11,1,1,0,1,1
minus 0.005 percent,19,2,1,0,1,0
13 percent,10,1,0,0,1,1
7.3 percent,11,1,1,0,1,1
nearly 20%,10,1,0,1,0,0
approximately 30%,17,1,0,1,0,0
roughly 27 percent,18,2,0,0,1,0
8.8%,4,0,1,1,0,0
0.7%,4,0,1,1,0,0
0.5 percent,11,1,1,0,1,1
nearly 30 percent,17,2,0,0,1,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
0.5 1 percent,13,2,1,0,1,0
1.6%,4,0,1,1,0,0
21 percent,10,1,0,0,1,1
96%,3,0,0,1,0,1
35%,3,0,0,1,0,1
1 percent,9,1,0,0,1,1
52%,3,0,0,1,0,1
10%,3,0,0,1,0,1
5.6 percent,11,1,1,0,1,1
40%,3,0,0,1,0,1
60 percent,10,1,0,0,1,1
29 percent,10,1,0,0,1,1
3.1 percent,11,1,1,0,1,1
27.3 percent,12,1,1,0,1,1
3.8 percent,11,1,1,0,1,1
96 percent,10,1,0,0,1,1
11%,3,0,0,1,0,1
13%,3,0,0,1,0,1
7%,2,0,0,1,0,1
14 percent,10,1,0,0,1,1
80%,3,0,0,1,0,1
48%,3,0,0,1,0,1
13 percent,10,1,0,0,1,1
almost 70%,10,1,0,1,0,0
30 50 percent,13,2,0,0,1,0
61%,3,0,0,1,0,1
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
40 70 percent,13,2,0,0,1,0
6.6%,4,0,1,1,0,0
around 50%,10,1,0,1,0,0
95%,3,0,0,1,0,1
0.5 percent,11,1,1,0,1,1
24 percent,10,1,0,0,1,1
8%,2,0,0,1,0,1
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
25 percent,10,1,0,0,1,1
22%,3,0,0,1,0,1
1.6 percent,11,1,1,0,1,1
12%,3,0,0,1,0,1
6 percent,9,1,0,0,1,1
0.40 percent,12,1,1,0,1,1
8 percent,9,1,0,0,1,1
around 2.0 percent,18,2,1,0,1,0
0.38 percent,12,1,1,0,1,1
7.5%,4,0,1,1,0,0
30 percent,10,1,0,0,1,1
10%,3,0,0,1,0,1
1.18 percent,12,1,1,0,1,1
2.75 percent,12,1,1,0,1,1
5.5 percent,11,1,1,0,1,1
0.2 percent,11,1,1,0,1,1
9%,2,0,0,1,0,1
1.5 percent,11,1,1,0,1,1
50%,3,0,0,1,0,1
5.60 percent,12,1,1,0,1,0
90%,3,0,0,1,0,1
3.1 percent,11,1,1,0,1,1
0.52 percent,12,1,1,0,1,1
0.3 percent,11,1,1,0,1,1
75%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
7%,2,0,0,1,0,1
0.07 percent,12,1,1,0,1,1
nearly 25%,10,1,0,1,0,0
1.57 percent,12,1,1,0,1,1
7 percent,9,1,0,0,1,1
0.9 percent,11,1,1,0,1,1
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
65 percent,10,1,0,0,1,1
20%,3,0,0,1,0,1
around 8%,9,1,0,1,0,0
3.0 percent,11,1,1,0,1,1
nearly 30%,10,1,0,1,0,0
78%,3,0,0,1,0,1
0.5 percent,11,1,1,0,1,1
8%,2,0,0,1,0,1
4%,2,0,0,1,0,1
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
25 percent,10,1,0,0,1,1
13.73%,6,0,1,1,0,0
245%,4,0,0,1,0,1
Sunglasses6%,12,0,0,1,0,0
38%,3,0,0,1,0,1
almost 60 percent,17,2,0,0,1,0
87.8 percent,12,1,1,0,1,1
1.3%,4,0,1,1,0,0
6.6 percent,11,1,1,0,1,1
Coat60%,7,0,0,1,0,0
0.75%,5,0,1,1,0,1
55.0 percent,12,1,1,0,1,1
almost 15%,10,1,0,1,0,0
0.2%,4,0,1,1,0,0
0.3 percent,11,1,1,0,1,1
1.9 percent,11,1,1,0,1,1
3.5%,4,0,1,1,0,0
much 5 percent,14,2,0,0,1,0
20-30%,6,0,0,1,0,1
almost 40%,10,1,0,1,0,0
58.7 percent,12,1,1,0,1,1
6.7%,4,0,1,1,0,0
44.5 53.5,9,1,1,0,0,0
almost 30 percent,17,2,0,0,1,0
3 percent,9,1,0,0,1,1
2.5%,4,0,1,1,0,0
2.58%,5,0,1,1,0,1
11.3%,5,0,1,1,0,0
0.1 percent,11,1,1,0,1,1
32 percent,10,1,0,0,1,1
51.6 percent,12,1,1,0,1,1
1.2%,4,0,1,1,0,0
20%,3,0,0,1,0,1
2.8 percent,11,1,1,0,1,1
13-15 percent,13,1,0,0,1,1
19%,3,0,0,1,0,1
51.7 percent,12,1,1,0,1,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
9.3 percent,11,1,1,0,1,1
6%,2,0,0,1,0,1
24 percent,10,1,0,0,1,1
55%,3,0,0,1,0,1
0.8%,4,0,1,1,0,0
Sweater65%,10,0,0,1,0,0
49.5 percent,12,1,1,0,1,1
32%,3,0,0,1,0,1
nearly 4 percent,16,2,0,0,1,0
16%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
8.6 percent,11,1,1,0,1,1
51.8 percent,12,1,1,0,1,1
47.1 percent,12,1,1,0,1,1
36.4 percent,12,1,1,0,1,1
2%-2.5%,7,0,1,1,0,0
47 percent,10,1,0,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
another 0.98%,13,1,1,1,0,0
50 percent,10,1,0,0,1,1
down1.6%,8,0,1,1,0,0
19.5%,5,0,1,1,0,0
4 percent,9,1,0,0,1,1
15 percent,10,1,0,0,1,1
70 percent,10,1,0,0,1,1
64%,3,0,0,1,0,1
11%,3,0,0,1,0,1
0.7 percent,11,1,1,0,1,1
43.2 percent,12,1,1,0,1,1
11 percent,10,1,0,0,1,1
around 1.6 percent,18,2,1,0,1,0
4.1%,4,0,1,1,0,0
2.1 percent,11,1,1,0,1,1
7 percent,9,1,0,0,1,1
-0.23%,6,0,1,1,0,0
53 percent,10,1,0,0,1,1
Christmas 1%,12,1,0,1,0,0
60%,3,0,0,1,0,1
4.47 percent,12,1,1,0,1,1
12%,3,0,0,1,0,1
35 percent,10,1,0,0,1,1
364 percent,11,1,0,0,1,0
8 percent,9,1,0,0,1,1
68%,3,0,0,1,0,1
50%,3,0,0,1,0,1
36%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
34%,3,0,0,1,0,1
nearly 40 percent,17,2,0,0,1,0
4.1 percent,11,1,1,0,1,1
27 percent,10,1,0,0,1,1
38.3 percent,12,1,1,0,1,1
8.3 percent,11,1,1,0,1,1
II20%,5,0,0,1,0,0
36.8 percent,12,1,1,0,1,1
43.6 percent,12,1,1,0,1,1
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
46%,3,0,0,1,0,1
2.6%,4,0,1,1,0,0
48%,3,0,0,1,0,1
4.7 percent,11,1,1,0,1,1
6.2 percent,11,1,1,0,1,1
0.2 percentage point,20,2,1,0,1,0
54.4 percent,12,1,1,0,1,1
5.5%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
0.21 percent,12,1,1,0,1,1
49.1 percent,12,1,1,0,1,1
14%,3,0,0,1,0,1
11.2 percent,12,1,1,0,1,1
30-40%,6,0,0,1,0,1
29.3%,5,0,1,1,0,0
95%,3,0,0,1,0,1
55 percent,10,1,0,0,1,1
6.7 percent,11,1,1,0,1,1
8%,2,0,0,1,0,1
52.0 percent,12,1,1,0,1,1
30%,3,0,0,1,0,1
roughly 1%,10,1,0,1,0,0
17%,3,0,0,1,0,1
47.7 percent,12,1,1,0,1,1
100 percent,11,1,0,0,1,1
1 percent,9,1,0,0,1,1
23%,3,0,0,1,0,1
55.1 percent,12,1,1,0,1,1
less 1 percent,14,2,0,0,1,0
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
6.4%,4,0,1,1,0,0
6.4 percent,11,1,1,0,1,1
5 percent,9,1,0,0,1,1
54.1 percent,12,1,1,0,1,1
1.5 percent,11,1,1,0,1,1
almost 5 percent,16,2,0,0,1,0
0.56%,5,0,1,1,0,1
1.9%,4,0,1,1,0,0
80 percent,10,1,0,0,1,1
as8%,4,0,0,1,0,0
100%,4,0,0,1,0,1
5.27%,5,0,1,1,0,0
Scarf60%,8,0,0,1,0,0
14 percent,10,1,0,0,1,1
70%,3,0,0,1,0,1
26 percent,10,1,0,0,1,1
nearly 20%,10,1,0,1,0,0
0.4 percentage points,21,2,1,0,1,0
0.7%,4,0,1,1,0,0
21.7 percent,12,1,1,0,1,1
0.5 percent,11,1,1,0,1,1
8.7%,4,0,1,1,0,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
31%,3,0,0,1,0,1
8.54 percent,12,1,1,0,1,1
25 percent,10,1,0,0,1,1
22%,3,0,0,1,0,1
3.7 percent,11,1,1,0,1,1
1.6%,4,0,1,1,0,0
9.5%,4,0,1,1,0,0
6.5%,4,0,1,1,0,0
5.5 percent,11,1,1,0,1,1
roughly 11%,11,1,0,1,0,0
20.1%,5,0,1,1,0,0
3.5%,4,0,1,1,0,0
95 percent,10,1,0,0,1,1
53%,3,0,0,1,0,1
3 percent,9,1,0,0,1,1
several hundred percent,23,2,0,0,1,0
around 2.2%,11,1,1,1,0,0
1.2%,4,0,1,1,0,0
20%,3,0,0,1,0,1
2.8 percent,11,1,1,0,1,1
1.00 percent,12,1,1,0,1,1
19%,3,0,0,1,0,1
5%,2,0,0,1,0,1
46 percent,10,1,0,0,1,1
6%,2,0,0,1,0,1
12.7%,5,0,1,1,0,0
0.8%,4,0,1,1,0,0
4.3 percent,11,1,1,0,1,1
16%,3,0,0,1,0,1
3.5 percent,11,1,1,0,1,1
15.9%,5,0,1,1,0,0
+0.62%,6,0,1,1,0,0
8.0%,4,0,1,1,0,0
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
0.2 percent,11,1,1,0,1,1
4 percent,9,1,0,0,1,1
57%,3,0,0,1,0,1
75%,3,0,0,1,0,1
11%,3,0,0,1,0,1
0.7 percent,11,1,1,0,1,1
1.8%,4,0,1,1,0,0
0%-0.25%,8,0,1,1,0,0
11.9 percent,12,1,1,0,1,1
75 percent,10,1,0,0,1,1
7.0 percent,11,1,1,0,1,1
76%,3,0,0,1,0,1
7 percent,9,1,0,0,1,1
0.42%,5,0,1,1,0,0
18%,3,0,0,1,0,1
62 percent,10,1,0,0,1,1
2.7 percent,11,1,1,0,1,1
12.8%,5,0,1,1,0,0
60%,3,0,0,1,0,1
1.7%,4,0,1,1,0,0
7.4 percent,11,1,1,0,1,1
0.0004%,7,0,1,1,0,0
12%,3,0,0,1,0,1
roughly 6%,10,1,0,1,0,0
8 percent,9,1,0,0,1,1
2.0%,4,0,1,1,0,0
39%,3,0,0,1,0,1
68%,3,0,0,1,0,1
5.20 percent,12,1,1,0,1,1
1.23%,5,0,1,1,0,1
2.292 percent,13,1,1,0,1,1
5.25 percent,12,1,1,0,1,1
79%,3,0,0,1,0,1
50%,3,0,0,1,0,1
56%,3,0,0,1,0,1
4.1 percent,11,1,1,0,1,1
1.8 percent,11,1,1,0,1,1
500 82%,7,1,0,1,0,0
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
2.6%,4,0,1,1,0,0
10% GDP 50%,11,2,0,1,0,0
5.5%,4,0,1,1,0,0
5.7%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
Thirty-four percent,19,1,0,0,1,0
1.0%,4,0,1,1,0,0
3.0 percent,11,1,1,0,1,1
10-20%,6,0,0,1,0,1
29.3%,5,0,1,1,0,0
95%,3,0,0,1,0,1
2.285 percent,13,1,1,0,1,1
1.17%,5,0,1,1,0,1
1.3 percent,11,1,1,0,1,1
8.3%,4,0,1,1,0,0
1.1%,4,0,1,1,0,0
roughly 20%,11,1,0,1,0,0
30%,3,0,0,1,0,1
8%,2,0,0,1,0,1
5.3%,4,0,1,1,0,0
roughly 1%,10,1,0,1,0,0
17%,3,0,0,1,0,1
99 percent,10,1,0,0,1,1
2.2 percent,11,1,1,0,1,1
82 percent,10,1,0,0,1,1
99.7%,5,0,1,1,0,0
1 percent,9,1,0,0,1,1
10%,3,0,0,1,0,1
4.6%,4,0,1,1,0,0
40%,3,0,0,1,0,1
0.4%,4,0,1,1,0,0
9%,2,0,0,1,0,1
1.1 percent,11,1,1,0,1,1
0.6%,4,0,1,1,0,0
40 0.1%,7,1,1,1,0,0
80 percent,10,1,0,0,1,1
43%,3,0,0,1,0,1
100%,4,0,0,1,0,1
3.2 percent,11,1,1,0,1,1
0.43%,5,0,1,1,0,1
0.5%,4,0,1,1,0,0
90 percent,10,1,0,0,1,1
14.5 percent,12,1,1,0,1,1
0.6 percent,11,1,1,0,1,1
less 2%,7,1,0,1,0,0
+0.33%,6,0,1,1,0,0
8.7%,4,0,1,1,0,0
4%,2,0,0,1,0,1
31%,3,0,0,1,0,1
25 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
62%,3,0,0,1,0,1
21 percent,10,1,0,0,1,1
26%,3,0,0,1,0,1
2.75 percent,12,1,1,0,1,1
37 percent,10,1,0,0,1,1
5.5 percent,11,1,1,0,1,1
0.2%,4,0,1,1,0,0
13.4 percent,12,1,1,0,1,1
0.3 percent,11,1,1,0,1,1
0%,2,0,0,1,0,1
5.6%,4,0,1,1,0,0
11.6 percent,12,1,1,0,1,1
51%,3,0,0,1,0,1
57 percent,10,1,0,0,1,1
3 percent,9,1,0,0,1,1
33 percent,10,1,0,0,1,1
4.6 percent,11,1,1,0,1,1
2.5%,4,0,1,1,0,0
0.1 percent,11,1,1,0,1,1
32 percent,10,1,0,0,1,1
0.2 percentage points,21,2,1,0,1,0
1.2%,4,0,1,1,0,0
24.5%,5,0,1,1,0,0
82%,3,0,0,1,0,1
20%,3,0,0,1,0,1
2.8 percent,11,1,1,0,1,1
0.1%,4,0,1,1,0,0
6%,2,0,0,1,0,1
around 2 percent,16,2,0,0,1,0
55%,3,0,0,1,0,1
3.4%,4,0,1,1,0,0
0.8%,4,0,1,1,0,0
16%,3,0,0,1,0,1
5.1 percent,11,1,1,0,1,1
2 percent,9,1,0,0,1,1
50 percent,10,1,0,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
0.2 percent,11,1,1,0,1,1
4.15 percent,12,1,1,0,1,1
15%,3,0,0,1,0,1
4 percent,9,1,0,0,1,1
15 percent,10,1,0,0,1,1
2.25 percent,12,1,1,0,1,1
75%,3,0,0,1,0,1
31 percent,10,1,0,0,1,1
2.3 percent,11,1,1,0,1,1
75 percent,10,1,0,0,1,1
2.3%,4,0,1,1,0,0
